Symbol,Last_Close (₦),XGB_Signal,XGB_Return (%),XGB_R2,XGB_Direction_Acc,XGB_Balanced_Acc,XGB_Buy_Probability,XGB_F1_BUY,XGB_Confidence,RF_Signal,RF_Return (%),RF_R2,RF_Direction_Acc,RF_Balanced_Acc,RF_Buy_Probability,RF_F1_BUY,RF_Confidence,LSTM_Signal,LSTM_Return (%),LSTM_R2,LSTM_Direction_Acc,LSTM_Balanced_Acc,LSTM_Buy_Probability,LSTM_F1_BUY,LSTM_Confidence,XGB_Quality_Pass,RF_Quality_Pass,LSTM_Quality_Pass,Models_Run,Qualified_Models,Qualified_Model_Names,Vote_Source,Consensus_Signal,Consensus_Tier,Avg_R2,Avg_Quality_R2,Avg_Confidence,Avg_Return,Fallback_Return_20D (%),Fallback_Return_60D (%),Fallback_Return_120D (%),Fallback_Avg_Trade_Value_20D
HONYFLOUR,18.45,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.1029,-6.2918,-0.5391,-19.4323,1.0959,128033714.64
IKEJAHOTEL,43.7,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,23.5716,17.3154,15.7616,37.6378,20565019.17
IMG,38.1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.1055,6.546,-3.7879,5.8333,17.5926,11923882.75
INTBREW,13.2,SELL,-1.29,0.129,61.04,62.9,45.04,54.27,0.0339,SELL,-1.07,0.0867,56.36,58.67,45.91,45.45,0.0218,,,,,,,,,False,False,False,2,0,,none,CONFLICT,3,0.1078,0.0,0.0,,,,,
INTENEGINS,4.97,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,82.9574,70.2055,57.7778,120.8889,11118124.82
JAIZBANK,8.97,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,23.3268,1.8161,-28.9786,97.1429,159998263.64
JAPAULGOLD,3.7,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,33.3955,33.0935,-1.8568,68.9498,94925374.18
JAPAULOIL,0.25,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,HOLD,3,0.0,0.0,0.0573,-1.7316,-24.2424,19.0476,0.0,1490300.21
JBERGER,288.0,BUY,7.85,0.0698,58.45,56.98,79.64,66.67,0.2252,BUY,5.18,0.0776,59.03,57.76,69.53,66.35,0.1497,,,,,,,,,True,True,False,2,2,"XGB,RF",quality,BUY,2,0.0737,0.0737,0.1874,,,,,
JOHNHOLT,15.3,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,93.8802,21.4286,76.8786,183.3333,16582225.88
LASACO,2.08,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,SELL,4,0.0,0.0,0.12,-10.2939,2.9703,-15.102,-18.75,43710072.25
LEARNAFRCA,12.75,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,BUY,3,0.0,0.0,0.12,64.4776,37.0968,34.2105,122.1254,14698007.55
LEGENDINT,5.9,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0,0,,fallback_price_momentum,HOLD,3,0.0,0.0,0.0555,1.5465,0.0,-1.6667,6.3063,11775779.62
